group_id,source,method,payload_level,encryption,psnr,ssim,fsim
16,ml_a,lsb,low,encrypted,57.17577508347581,0.9992312808571427,
16,ml_b,lsb,low,plain,57.16806987820286,0.9988894735808643,
16,ml_b,lsb,low,encrypted,57.167406275967785,0.9988870238267574,
17,real,lsb,low,plain,57.18149640068071,0.9984617764690161,
17,real,lsb,low,encrypted,57.17936665787576,0.9984689724811486,
17,ml_a,lsb,low,plain,57.20901053603179,0.9983588004062489,
17,ml_a,lsb,low,encrypted,57.158921110756225,0.998341278331961,
17,ml_b,lsb,low,plain,57.18429327402207,0.9984584205975022,
17,ml_b,lsb,low,encrypted,57.12843213892797,0.9984323581875385,
18,real,lsb,low,plain,57.17457855175009,0.9984185941020056,
18,real,lsb,low,encrypted,57.12724857812877,0.9983976331405301,
18,ml_a,lsb,low,plain,57.176705947227966,0.998514734055503,
18,ml_a,lsb,low,encrypted,57.138044069171954,0.9985079583076643,
18,ml_b,lsb,low,plain,57.147148916943145,0.9981494075129388,
18,ml_b,lsb,low,encrypted,57.14662057815673,0.9981446741377862,
19,real,lsb,low,plain,57.138044069171954,0.9992825788845227,
19,real,lsb,low,encrypted,57.17537620293741,0.9992869132756433,
19,ml_a,lsb,low,plain,57.17218647681988,0.99854860068286,
19,ml_a,lsb,low,encrypted,57.1740468656699,0.9985446389369474,
19,ml_b,lsb,low,plain,57.127380068956974,0.9988529677686834,
19,ml_b,lsb,low,encrypted,57.165150786527825,0.998864609209855,
20,real,lsb,low,plain,57.157464391078925,0.9989240809956506,
20,real,lsb,low,encrypted,57.13712145452733,0.9989178480797223,
20,ml_a,lsb,low,plain,57.15256809858157,0.9989269338191166,
20,ml_a,lsb,low,encrypted,57.1401536389364,0.9989190287378605,
20,ml_b,lsb,low,plain,57.16395717794011,0.9987707036122457,
20,ml_b,lsb,low,encrypted,57.14860218011009,0.9987632165993505,
